,eval_subj,num_regions,train_dataset,train_ses,train_type,cerebellum,cortex,method,logalpha,R_train,rmse_train,R_cv,rmse_cv,eval_dataset,eval_ses,parcellation,crossed,splitby,type,cv_fold,R_eval,R2_eval,noise_Y_R,noise_Y_R2,noise_X_R,noise_X_R2,noiseceiling_Y,noiseceiling_XY,R_eval_adj,model
1089,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,10.0,0.998851066481876,430.711820419721,0.996943606448979,847.590390867437,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0827889955746724,-0.0946535132725006,0.131851467625729,-0.736297064748543,0.312207924624109,-0.375584150751782,0.36311357400368416,0.20289177673348852,0.4080451012236987,
1090,sub-08,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,12.0,0.997695583725854,627.936771650688,0.996310375710994,954.381141710916,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0830779584856181,-0.0843560904779074,0.131851467625729,-0.736297064748543,0.299335418971706,-0.401329162056588,0.36311357400368416,0.19866508073585032,0.4181809816697503,
1091,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,0.0,0.999900623799896,128.546117051581,0.996774358303751,827.540767817039,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0554279885409437,-0.203690020274967,0.23453451032125,-0.5309309793575,0.275580959781396,-0.448838080437207,0.48428763180701817,0.254230693379438,0.21802241029259875,
1092,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,2.0,0.999889105967091,136.039543386045,0.996802519843306,818.171799923107,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0309151436413759,-0.204080171511471,0.23453451032125,-0.5309309793575,0.252964743575414,-0.494070512849171,0.48428763180701817,0.24357537285817774,0.1269222880729256,
1093,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,4.0,0.999883586419561,139.846610112042,0.996796733286971,813.839470106837,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0041207453310914,-0.264954824056858,0.23453451032125,-0.5309309793575,0.261045137632502,-0.477909724734997,0.48428763180701817,0.24743502889926913,-0.0166538478784625,
1094,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,6.0,0.999865253143083,151.614401867949,0.996904040011809,801.442302774611,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0156741585128425,-0.297403602131592,0.23453451032125,-0.5309309793575,0.272027473526832,-0.455945052946337,0.48428763180701817,0.25258628287684654,-0.062054670326198,
1095,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,8.0,0.999673301953509,233.295668199339,0.997227591709958,777.041239003273,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0130193279008613,-0.269842036734451,0.23453451032125,-0.5309309793575,0.266235347324388,-0.467529305351224,0.48428763180701817,0.24988272612354234,-0.052101752301295635,
1096,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,10.0,0.998851066481876,430.711820419721,0.996943606448979,847.590390867437,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0029689481955386,-0.208844624007219,0.23453451032125,-0.5309309793575,0.249576820454554,-0.500846359090893,0.48428763180701817,0.24193878848345787,-0.012271484924549816,
1097,sub-09,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,12.0,0.997695583725854,627.936771650688,0.996310375710994,954.381141710916,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0047232457143905,-0.171407696056734,0.23453451032125,-0.5309309793575,0.239830683315626,-0.520338633368748,0.48428763180701817,0.23716781373415982,0.019915205356173506,
1098,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,0.0,0.999900623799896,128.546117051581,0.996774358303751,827.540767817039,MDTB,all,Icosahedron1002,half,,CondHalf,,0.104939164713866,-0.161614739226967,0.292503349130297,-0.414993301739406,0.274531040109321,-0.450937919781358,0.5408357875827903,0.2833747495317822,0.37031939114990353,
