train_dataset	eval_dataset	eval_subj	R_eval_adj_L2reg	R_eval_adj_NNLS	R_eval_adj_diff
MDTB	HCPur100	sub-198451	0.3158296308804587	0.19813315957966407	0.11769647130079461
MDTB	HCPur100	sub-199655	0.7294981131270608	0.649330482382827	0.08016763074423383
MDTB	HCPur100	sub-201111	0.41045506203649906	0.41538533228115454	-0.004930270244655477
MDTB	HCPur100	sub-208226	0.3054976207867114	0.39803538932247634	-0.09253776853576495
MDTB	HCPur100	sub-211417	0.5216308720908047	0.4884352038658323	0.03319566822497244
MDTB	HCPur100	sub-211720	0.3049682508857878	0.40968043866764253	-0.10471218778185476
MDTB	HCPur100	sub-212318	0.44331523141848167	0.5510889912173361	-0.10777375979885445
MDTB	HCPur100	sub-214423	0.4982918766404254	0.3882877416440567	0.11000413499636869
MDTB	HCPur100	sub-221319	0.5606651505926323	1.146951113676705	-0.5862859630840727
MDTB	HCPur100	sub-239944	0.5740863759682756	0.505169857474764	0.06891651849351166
MDTB	HCPur100	sub-245333	0.43512891468951836	0.26999118404955075	0.16513773063996762
MDTB	HCPur100	sub-280739	0.41489526525871356	0.39887375696919775	0.016021508289515818
MDTB	HCPur100	sub-298051	0.6385710979274785	0.7759498696954663	-0.13737877176798785
MDTB	HCPur100	sub-366446	0.24422685200208594	0.16597870302949944	0.0782481489725865
MDTB	HCPur100	sub-397760	0.8447109815646576	0.9030268126926061	-0.05831583112794847
MDTB	HCPur100	sub-414229	0.978129605963823	1.142889984015677	-0.16476037805185395
MDTB	HCPur100	sub-654754	0.37041248687985795	0.5997674811596561	-0.2293549942797981
MDTB	HCPur100	sub-672756	0.3319470600691679	0.027004502252473066	0.3049425578166948
MDTB	HCPur100	sub-751348	0.6679748366109637	0.9040469038826514	-0.23607206727168772
MDTB	HCPur100	sub-792564	0.6538085432720572	0.6614860133706901	-0.007677470098632955
MDTB	HCPur100	sub-899885	0.8558070836733567	0.7478707010687716	0.10793638260458505
MDTB	MDTB	sub-02	0.5550482788109026	0.7052541709485162	-0.1502058921376136
MDTB	MDTB	sub-03	0.770456220590865	0.8137905779357504	-0.04333435734488533
MDTB	MDTB	sub-04	0.516833096334243	0.5677351808683471	-0.05090208453410405
MDTB	MDTB	sub-06	1.0622413150942214	1.2260380357023055	-0.16379672060808415
MDTB	MDTB	sub-08	0.7730680799716381	0.8873725021157083	-0.11430442214407022
MDTB	MDTB	sub-09	0.7603610735835129	0.8748538100625293	-0.11449273647901637
MDTB	MDTB	sub-10	1.1161099583361787	1.264790998024309	-0.1486810396881304
MDTB	MDTB	sub-12	0.8902303034414818	0.9620108360262665	-0.07178053258478467
MDTB	MDTB	sub-14	0.7617876753854711	0.7980627085569929	-0.03627503317152181
MDTB	MDTB	sub-15	0.7130199571042996	0.8029650529504531	-0.08994509584615351
MDTB	MDTB	sub-17	0.9527382115892573	1.1375685907199589	-0.18483037913070155
MDTB	MDTB	sub-18	0.6573413557336099	0.7835745456502425	-0.12623318991663268
MDTB	MDTB	sub-19	0.9533674656621028	1.1717058589059437	-0.21833839324384086
MDTB	MDTB	sub-20	0.8098063760256349	0.9046209492930434	-0.0948145732674085
MDTB	MDTB	sub-21	0.6046834846080841	0.675873761537875	-0.07119027692979096
MDTB	MDTB	sub-22	1.0818464603429105	1.1180227546901882	-0.03617629434727765
MDTB	MDTB	sub-24	0.8056907500398395	0.9453818000355579	-0.13969104999571846
MDTB	MDTB	sub-25	0.7685820902368548	0.9676281745633858	-0.19904608432653104
MDTB	MDTB	sub-26	0.8009297063436529	0.9618936981009425	-0.1609639917572896
MDTB	MDTB	sub-27	0.9312784812507929	1.122832538318503	-0.19155405706771
MDTB	MDTB	sub-28	0.8727058638302542	0.900717924611477	-0.02801206078122287
MDTB	MDTB	sub-29	0.5806963210156224	0.6491582843197953	-0.06846196330417287
MDTB	MDTB	sub-30	0.5876358152208618	0.6359559202731756	-0.048320105052313767
MDTB	MDTB	sub-31	0.8365024863293772	0.9255412743897744	-0.08903878806039722
Language	MDTB	sub-02	0.600313538471345	0.6085641025860866	-0.008250564114741565
Language	MDTB	sub-03	0.5980940780785742	0.4881751660151918	0.10991891206338239
Language	MDTB	sub-04	0.46416213522861627	0.3834314690500718	0.08073066617854446
Language	MDTB	sub-06	0.9633363161599822	1.0256895788119984	-0.06235326265201624
Language	MDTB	sub-08	0.7374587509423344	0.6535873164197912	0.0838714345225432
Language	MDTB	sub-09	0.6220441792839781	0.5823761883447746	0.03966799093920359
Language	MDTB	sub-10	0.9409178608523598	0.8699813330738112	0.07093652777854864
Language	MDTB	sub-12	0.776213587996088	0.5999398397056246	0.17627374829046338
