eval_subj	num_regions	subj_id	mname	R_train	R2_train	logalpha	train_dataset	train_ses	run	cond_num	method	cerebellum	cortex	parcellation	crossed	validate_model	type	add_rest	cortical_cerebellar_act	std_cortex	std_cerebellum	append	eval_dataset	eval_ses	splitby	subj_list	cortical_act	dataset	model	mix_param	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	group_noiseceil_Y_upper	group_noiseceil_Y_lower	noiseceiling_Y	noiseceiling_XY	R_eval_adj	task_code	isbest	extension	group_noiseceil_Y	mean_group_noiseceil_Y
sub-02	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.133621144843047	-0.0681457911900682	0.4463499581367413	-0.1073000837265172	0.6545600161049329	0.3091200322098657	0.3493462334766418	0.2329640953067989	0.6680942733901716	0.5405208930156368	0.29697414686862555		True		0.29115516439172034	0.449942010952751
sub-03	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.3183540348312628	0.0895715375995505	0.2009328053340298	-0.5981343893319404	0.6545600161049329	0.3091200322098657	0.3900951865188486	0.2767779470929605	0.44825529035810585	0.362660420083929	0.7075445881507019		True		0.33343656680590456	0.449942010952751
sub-04	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.4521814778873664	0.2038278935678885	0.3261012177023305	-0.3477975645953386	0.6545600161049329	0.3091200322098657	0.599320164712935	0.5098499990517567	0.5710527276025661	0.462009543528135	1.0049772345771255		True		0.5545850818823459	0.449942010952751
sub-05	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.4117525967087006	0.1693113808567045	0.2654828967731498	-0.4690342064537001	0.6545600161049329	0.3091200322098657	0.5882094043979051	0.4971139199998903	0.5152503243794707	0.4168626742554641	0.9151236974667372		True		0.5426616621988978	0.449942010952751
sub-06	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.435057199011213	0.1892078899401226	0.379585022756177	-0.2408299544876462	0.6545600161049329	0.3091200322098657	0.5443973678713067	0.4472982861265427	0.616104717362379	0.49845880332127196	0.9669183770814833		True		0.4958478269989247	0.449942010952751
sub-07	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.5111503275713672	0.2541730673728912	0.3497360800561145	-0.3005278398877711	0.6545600161049329	0.3091200322098657	0.6145694210432884	0.5273987255873892	0.591384883181938	0.47845925029620484	1.1360360115940449		True		0.5709840733153388	0.449942010952751
sub-08	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.2158228718321655	0.0020346558513023	0.3703000498279175	-0.2593999003441647	0.6545600161049329	0.3091200322098657	0.4215339301478823	0.310920283049277	0.6085228424865557	0.4923246962920092	0.4796681940749679		True		0.36622710659857965	0.449942010952751
sub-09	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.3468985331999221	0.1139416540126686	0.2055903742862276	-0.5888192514275445	0.6545600161049329	0.3091200322098657	0.4549050274865718	0.3474912612844505	0.45342074752510786	0.3668395271829527	0.7709849819654879		True		0.40119814438551116	0.449942010952751
sub-10	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.4670183500165993	0.2164950035771841	0.2424894330734934	-0.5150211338530131	0.6545600161049329	0.3091200322098657	0.5852413794518193	0.4937188245725887	0.4924321608846171	0.3984016656815856	1.037952310849323		True		0.539480102012204	0.449942010952751
sub-11	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	global	global	False	WMFS	all		all	avg	MDTB	group		0.5280363387626772	0.2685896478701427	0.4200382417266172	-0.1599235165467658	0.6545600161049329	0.3091200322098657	0.5127595346702454	0.4117197906740346	0.6481035733018429	0.5243474404145234	1.1735653171051124		True		0.46223966267214	0.449942010952751
